"","year","region","DAY","surveyN","A.numitor","C.pegala","M.cymela","S.cybele"
"1",2017,"Ohio",1,0,0,0,0,0
"2",2017,"Ohio",2,0,0,0,0,0
"3",2017,"Ohio",3,0,0,0,0,0
"4",2017,"Ohio",4,0,0,0,0,0
"5",2017,"Ohio",5,0,0,0,0,0
"6",2017,"Ohio",6,0,0,0,0,0
"7",2017,"Ohio",7,0,0,0,0,0
"8",2017,"Ohio",8,0,0,0,0,0
"9",2017,"Ohio",9,0,0,0,0,0
"10",2017,"Ohio",10,0,0,0,0,0
"11",2017,"Ohio",11,0,0,0,0,0
"12",2017,"Ohio",12,0,0,0,0,0
"13",2017,"Ohio",13,0,0,0,0,0
"14",2017,"Ohio",14,0,0,0,0,0
"15",2017,"Ohio",15,0,0,0,0,0
"16",2017,"Ohio",16,0,0,0,0,0
"17",2017,"Ohio",17,0,0,0,0,0
"18",2017,"Ohio",18,0,0,0,0,0
"19",2017,"Ohio",19,0,0,0,0,0
"20",2017,"Ohio",20,0,0,0,0,0
"21",2017,"Ohio",21,0,0,0,0,0
"22",2017,"Ohio",22,0,0,0,0,0
"23",2017,"Ohio",23,0,0,0,0,0
"24",2017,"Ohio",24,0,0,0,0,0
"25",2017,"Ohio",25,0,0,0,0,0
"26",2017,"Ohio",26,0,0,0,0,0
"27",2017,"Ohio",27,0,0,0,0,0
"28",2017,"Ohio",28,0,0,0,0,0
"29",2017,"Ohio",29,0,0,0,0,0
"30",2017,"Ohio",30,0,0,0,0,0
"31",2017,"Ohio",31,0,0,0,0,0
"32",2017,"Ohio",32,0,0,0,0,0
"33",2017,"Ohio",33,0,0,0,0,0
"34",2017,"Ohio",34,0,0,0,0,0
"35",2017,"Ohio",35,0,0,0,0,0
"36",2017,"Ohio",36,0,0,0,0,0
"37",2017,"Ohio",37,0,0,0,0,0
"38",2017,"Ohio",38,0,0,0,0,0
"39",2017,"Ohio",39,0,0,0,0,0
"40",2017,"Ohio",40,0,0,0,0,0
"41",2017,"Ohio",41,0,0,0,0,0
"42",2017,"Ohio",42,0,0,0,0,0
"43",2017,"Ohio",43,0,0,0,0,0
"44",2017,"Ohio",44,0,0,0,0,0
"45",2017,"Ohio",45,0,0,0,0,0
"46",2017,"Ohio",46,0,0,0,0,0
"47",2017,"Ohio",47,0,0,0,0,0
"48",2017,"Ohio",48,0,0,0,0,0
