"estimate","low_ci","high_ci","year","lat_bin","lon_bin","scientificName"
228,215,243,2015,41.5,-93.5,"Danaus plexippus"
256,219,264,2016,41.5,-93.5,"Danaus plexippus"
234.5,193.5,250,2017,41.5,-93.5,"Danaus plexippus"
216,202,230,2018,41.5,-93.5,"Danaus plexippus"
250,237,255,2018,38.5,-90.5,"Danaus plexippus"
247,174,259,2018,41.5,-90.5,"Danaus plexippus"
218,203,237,2018,40.5,-89.5,"Danaus plexippus"
235,210,265,2015,41.5,-88.5,"Danaus plexippus"
227.5,205,252,2017,41.5,-88.5,"Danaus plexippus"
214.5,198.5,225,2018,41.5,-88.5,"Danaus plexippus"
215.5,183,245,2014,41.5,-87.5,"Danaus plexippus"
220,211,242,2015,41.5,-87.5,"Danaus plexippus"
254,247,257,2016,41.5,-87.5,"Danaus plexippus"
213,208,224,2017,41.5,-87.5,"Danaus plexippus"
227,220,234,2018,41.5,-87.5,"Danaus plexippus"
224,195,237,2018,41.5,-85.5,"Danaus plexippus"
240.5,221,254,2015,39.5,-84.5,"Danaus plexippus"
260,249,267,2016,39.5,-84.5,"Danaus plexippus"
224,210,231,2017,39.5,-84.5,"Danaus plexippus"
217,196,218,2017,41.5,-83.5,"Danaus plexippus"
285,251,285,2016,39.5,-82.5,"Danaus plexippus"
232,211,260,2017,39.5,-82.5,"Danaus plexippus"
231,215,241,2017,40.5,-82.5,"Danaus plexippus"
218.5,207.5,237,2014,41.5,-81.5,"Danaus plexippus"
247,230.5,254.5,2015,41.5,-81.5,"Danaus plexippus"
247.5,237,263,2016,41.5,-81.5,"Danaus plexippus"
226,215,232,2017,41.5,-81.5,"Danaus plexippus"
244,221,256,2015,38.5,-77.5,"Danaus plexippus"
272,261,276,2016,38.5,-77.5,"Danaus plexippus"
241.5,229,262,2017,38.5,-77.5,"Danaus plexippus"
224,212,247,2015,41.5,-93.5,"Phyciodes tharos"
243,227,259.5,2016,41.5,-93.5,"Phyciodes tharos"
226,148,241,2018,41.5,-93.5,"Phyciodes tharos"
244.5,222,249.5,2018,38.5,-90.5,"Phyciodes tharos"
224,217,244.5,2018,41.5,-88.5,"Phyciodes tharos"
200,153,228,2014,41.5,-87.5,"Phyciodes tharos"
209,190,213,2015,41.5,-87.5,"Phyciodes tharos"
254,236,257,2016,41.5,-87.5,"Phyciodes tharos"
225.5,210,239.5,2017,41.5,-87.5,"Phyciodes tharos"
230,211,242,2018,41.5,-87.5,"Phyciodes tharos"
249,240,260.5,2016,39.5,-84.5,"Phyciodes tharos"
209,187,223.5,2017,39.5,-84.5,"Phyciodes tharos"
210.5,141,251,2017,40.5,-83.5,"Phyciodes tharos"
217,180,222,2017,41.5,-83.5,"Phyciodes tharos"
185.5,138.5,235,2017,39.5,-82.5,"Phyciodes tharos"
222,200,222,2016,41.5,-82.5,"Phyciodes tharos"
207,194,227,2014,41.5,-81.5,"Phyciodes tharos"
203,184,208,2015,41.5,-81.5,"Phyciodes tharos"
146,141,194,2016,41.5,-81.5,"Phyciodes tharos"
228.5,210,241.5,2017,41.5,-81.5,"Phyciodes tharos"
225,191.5,236,2014,38.5,-77.5,"Phyciodes tharos"
176.5,133,238,2015,38.5,-77.5,"Phyciodes tharos"
225,141,252,2016,38.5,-77.5,"Phyciodes tharos"
183,135,217.5,2017,38.5,-77.5,"Phyciodes tharos"
210,186,216,2017,41.5,-93.5,"Papilio glaucus"
203,147,211,2018,41.5,-93.5,"Papilio glaucus"
232,206,250,2016,38.5,-90.5,"Papilio glaucus"
215,205,219,2017,38.5,-90.5,"Papilio glaucus"
194,136,217,2018,38.5,-90.5,"Papilio glaucus"
205,200,218,2018,41.5,-88.5,"Papilio glaucus"
221,189,228,2014,41.5,-87.5,"Papilio glaucus"
214,207,219,2016,41.5,-87.5,"Papilio glaucus"
206.5,183.5,210,2017,41.5,-87.5,"Papilio glaucus"
216,204,222,2018,41.5,-87.5,"Papilio glaucus"
219.5,211,232,2016,39.5,-84.5,"Papilio glaucus"
203,147,203,2017,39.5,-84.5,"Papilio glaucus"
198,165.5,214,2017,41.5,-83.5,"Papilio glaucus"
206,129,214,2016,39.5,-82.5,"Papilio glaucus"
150,117.5,211.5,2017,39.5,-82.5,"Papilio glaucus"
215.5,210,221.5,2014,41.5,-81.5,"Papilio glaucus"
212,207,217.5,2015,41.5,-81.5,"Papilio glaucus"
206.5,191,213,2016,41.5,-81.5,"Papilio glaucus"
211,206,212,2017,41.5,-81.5,"Papilio glaucus"
166,122,166,2014,38.5,-77.5,"Papilio glaucus"
210,200,233,2015,38.5,-77.5,"Papilio glaucus"
219,207,226,2016,38.5,-77.5,"Papilio glaucus"
171.5,145,191,2017,38.5,-77.5,"Papilio glaucus"
204,170,215,2015,41.5,-93.5,"Pieris rapae"
188.5,166,206,2016,41.5,-93.5,"Pieris rapae"
208,124,222,2017,41.5,-93.5,"Pieris rapae"
208,164,216,2018,41.5,-93.5,"Pieris rapae"
250,246,266,2018,38.5,-90.5,"Pieris rapae"
200.5,163,256,2017,41.5,-88.5,"Pieris rapae"
200.5,175.5,211.5,2018,41.5,-88.5,"Pieris rapae"
228,177.5,259,2016,41.5,-87.5,"Pieris rapae"
217,196,231,2017,41.5,-87.5,"Pieris rapae"
234,212,234,2018,41.5,-87.5,"Pieris rapae"
249,233,255,2016,39.5,-84.5,"Pieris rapae"
184,167.5,196,2017,39.5,-84.5,"Pieris rapae"
195,168,204,2017,41.5,-83.5,"Pieris rapae"
215,126,215,2014,41.5,-82.5,"Pieris rapae"
255,131.5,266,2015,41.5,-82.5,"Pieris rapae"
219.5,194,241.5,2016,41.5,-82.5,"Pieris rapae"
208,202,214,2017,41.5,-82.5,"Pieris rapae"
176,170,205,2015,41.5,-81.5,"Pieris rapae"
176,118,176,2016,41.5,-81.5,"Pieris rapae"
185.5,176.5,208.5,2017,41.5,-81.5,"Pieris rapae"
190,101,190,2014,38.5,-77.5,"Pieris rapae"
248,233,260,2016,38.5,-77.5,"Pieris rapae"
189,145,230,2017,38.5,-77.5,"Pieris rapae"
232,212.5,250,2016,41.5,-93.5,"Epargyreus clarus"
216,147,226,2018,41.5,-93.5,"Epargyreus clarus"
252,244,258,2018,38.5,-90.5,"Epargyreus clarus"
229,181,241,2016,41.5,-88.5,"Epargyreus clarus"
212,191,217,2018,41.5,-88.5,"Epargyreus clarus"
228,196,245,2014,41.5,-87.5,"Epargyreus clarus"
219.5,184,225,2015,41.5,-87.5,"Epargyreus clarus"
254,217,261,2016,41.5,-87.5,"Epargyreus clarus"
216,206,227,2017,41.5,-87.5,"Epargyreus clarus"
212,209,219,2018,41.5,-87.5,"Epargyreus clarus"
248,235,254,2016,39.5,-84.5,"Epargyreus clarus"
195,168,207,2017,39.5,-84.5,"Epargyreus clarus"
196,183,217,2017,41.5,-83.5,"Epargyreus clarus"
218.5,193,228,2014,41.5,-81.5,"Epargyreus clarus"
202,168,223,2015,41.5,-81.5,"Epargyreus clarus"
202,183,211,2016,41.5,-81.5,"Epargyreus clarus"
